time_period,scenario,relative_to_solar,relative_to_solar_p05,relative_to_solar_p95,cumulative_advantage,cumulative_advantage_p05,cumulative_advantage_p95
122,fusion,0.136553,-0.072475,0.323683,20.027823,-14.615610,46.267963
123,fusion,0.136327,-0.067869,0.317466,20.164150,-14.683479,46.585429
124,fusion,0.135660,-0.059384,0.304720,20.299810,-14.742863,46.890149
125,fusion,0.127503,-0.129295,0.313120,20.427312,-14.872158,47.203269
126,fusion,0.128992,-0.078207,0.315198,20.556305,-14.950365,47.518466
127,fusion,0.130145,-0.131226,0.338087,20.686450,-15.081591,47.856553
128,fusion,0.135232,-0.071082,0.316040,20.821682,-15.152673,48.172593
129,fusion,0.136295,-0.088742,0.334551,20.957977,-15.241415,48.507144
130,fusion,0.135002,-0.195979,0.347019,21.092979,-15.437394,48.854163
131,fusion,0.133919,-0.183991,0.341182,21.226898,-15.621385,49.195345
132,fusion,0.126907,-0.168558,0.319499,21.353805,-15.789942,49.514845
133,fusion,0.126532,-0.151064,0.307978,21.480336,-15.941007,49.822823
134,fusion,0.129045,-0.159372,0.323529,21.609382,-16.100378,50.146352
135,fusion,0.132356,-0.170860,0.339089,21.741738,-16.271239,50.485441
136,fusion,0.135732,-0.090397,0.338389,21.877470,-16.361636,50.823830
137,fusion,0.135473,-0.110826,0.354287,22.012943,-16.472461,51.178117
138,fusion,0.135667,-0.149554,0.316865,22.148609,-16.622016,51.494983
139,fusion,0.126960,-0.060537,0.301194,22.275570,-16.682552,51.796177
140,fusion,0.129195,-0.064324,0.304567,22.404765,-16.746877,52.100744
141,fusion,0.128327,-0.083990,0.328587,22.533092,-16.830867,52.429331
142,fusion,0.135917,-0.160357,0.324719,22.669009,-16.991224,52.754050
143,fusion,0.134085,-0.270709,0.351576,22.803094,-17.261933,53.105626
144,fusion,0.135718,-0.084565,0.330487,22.938812,-17.346498,53.436113
145,fusion,0.136924,-0.085894,0.340226,23.075736,-17.432391,53.776339
146,fusion,0.128766,-0.058786,0.305524,23.204502,-17.491177,54.081863
147,fusion,0.128470,-0.064105,0.310054,23.332972,-17.555282,54.391917
148,fusion,0.131353,-0.081704,0.335923,23.464326,-17.636986,54.727840
149,fusion,0.134230,-0.075489,0.329389,23.598556,-17.712475,55.057229
150,fusion,0.136816,-0.070426,0.323153,23.735372,-17.782901,55.380382
151,fusion,0.136020,-0.066372,0.332482,23.871393,-17.849273,55.712864
152,fusion,0.138746,-0.033337,0.311665,24.010139,-17.882610,56.024528
153,fusion,0.143661,-0.042691,0.339217,24.153800,-17.925301,56.363745
154,fusion,0.150373,-0.041503,0.336514,24.304173,-17.966804,56.700259
155,fusion,0.147388,-0.044109,0.340837,24.451560,-18.010913,57.041096
156,fusion,0.147660,-0.042331,0.347723,24.599221,-18.053244,57.388819
157,fusion,0.146170,-0.068624,0.367554,24.745391,-18.121868,57.756373
158,fusion,0.145712,-0.063795,0.357560,24.891103,-18.185663,58.113933
159,fusion,0.148322,-0.084577,0.335611,25.039425,-18.270240,58.449545
160,fusion,0.151065,-0.038913,0.333810,25.190490,-18.309153,58.783355
161,fusion,0.151633,-0.042070,0.340488,25.342123,-18.351222,59.123842
162,fusion,0.146308,-0.144752,0.356001,25.488431,-18.495974,59.479843
163,fusion,0.149104,-0.041815,0.338022,25.637535,-18.537789,59.817865
164,fusion,0.146717,-0.058066,0.357879,25.784252,-18.595855,60.175745
165,fusion,0.145984,-0.090669,0.387088,25.930236,-18.686524,60.562832
166,fusion,0.146376,-0.119281,0.362710,26.076612,-18.805805,60.925542
167,fusion,0.152006,-0.021929,0.319423,26.228617,-18.827734,61.244965
168,fusion,0.152846,-0.033571,0.332002,26.381463,-18.861305,61.576967
169,fusion,0.146674,-0.074019,0.351646,26.528137,-18.935324,61.928613
170,fusion,0.144235,-0.060534,0.335628,26.672373,-18.995858,62.264241
171,fusion,0.146282,-0.059249,0.336830,26.818655,-19.055106,62.601071
172,fusion,0.146094,-0.122616,0.333255,26.964749,-19.177722,62.934326
173,fusion,0.149481,-0.147212,0.363024,27.114231,-19.324934,63.297350
174,fusion,0.150248,-0.117852,0.333369,27.264478,-19.442787,63.630718
175,fusion,0.152319,-0.106165,0.333193,27.416797,-19.548952,63.963912
176,fusion,0.145738,-0.142805,0.354236,27.562535,-19.691757,64.318148
177,fusion,0.145424,-0.123120,0.334548,27.707959,-19.814877,64.652696
178,fusion,0.146274,-0.132726,0.348708,27.854233,-19.947604,65.001405
179,fusion,0.146915,-0.139384,0.356574,28.001149,-20.086988,65.357979
180,fusion,0.148643,-0.161550,0.375918,28.149792,-20.248538,65.733897
181,fusion,0.150515,-0.109215,0.333314,28.300306,-20.357753,66.067211
182,fusion,0.150688,-0.108106,0.330805,28.450994,-20.465859,66.398016
183,fusion,0.146657,-0.140493,0.346153,28.597651,-20.606353,66.744170
184,fusion,0.146891,-0.140477,0.362177,28.744542,-20.746830,67.106346
185,fusion,0.146512,-0.076535,0.362651,28.891053,-20.823365,67.468997
186,fusion,0.148813,-0.090589,0.380699,29.039867,-20.913954,67.849696
187,fusion,0.149352,-0.047252,0.351754,29.189219,-20.961206,68.201450
188,fusion,0.152598,-0.034699,0.335104,29.341816,-20.995904,68.536554
189,fusion,0.153225,-0.039729,0.344037,29.495041,-21.035633,68.880591
190,fusion,0.147000,-0.045264,0.347998,29.642041,-21.080898,69.228589
191,fusion,0.146211,-0.061946,0.350077,29.788252,-21.142843,69.578666
192,fusion,0.145999,-0.040700,0.330409,29.934251,-21.183543,69.909076
193,fusion,0.146278,-0.102145,0.384136,30.080529,-21.285687,70.293211
194,fusion,0.146528,-0.042819,0.334226,30.227057,-21.328506,70.627437
195,fusion,0.152962,-0.044489,0.340505,30.380019,-21.372996,70.967943
196,fusion,0.150525,-0.036699,0.326158,30.530544,-21.409695,71.294100
197,fusion,0.146052,-0.034932,0.323561,30.676596,-21.444627,71.617662
198,fusion,0.145867,-0.049421,0.338863,30.822463,-21.494048,71.956525
199,fusion,0.148580,-0.067659,0.364384,30.971043,-21.561707,72.320909
200,fusion,0.147314,-0.055258,0.344367,31.118357,-21.616965,72.665276
201,fusion,0.146818,-0.059148,0.353002,31.265175,-21.676112,73.018278
202,fusion,0.151331,-0.043307,0.334450,31.416506,-21.719419,73.352727
203,fusion,0.151524,-0.039332,0.330743,31.568030,-21.758751,73.683470
204,fusion,0.144832,-0.068986,0.351581,31.712862,-21.827736,74.035051
205,fusion,0.146041,-0.055863,0.348679,31.858904,-21.883599,74.383730
206,fusion,0.145374,-0.059203,0.356616,32.004277,-21.942802,74.740346
207,fusion,0.148018,-0.062774,0.355313,32.152295,-22.005576,75.095660
208,fusion,0.148857,-0.064549,0.360211,32.301152,-22.070125,75.455870
209,fusion,0.150935,-0.103001,0.337979,32.452086,-22.173126,75.793849
210,fusion,0.151351,-0.037545,0.333068,32.603437,-22.210671,76.126917
211,fusion,0.145969,-0.055835,0.350111,32.749406,-22.266506,76.477028
212,fusion,0.148258,-0.088266,0.381146,32.897663,-22.354772,76.858174
213,fusion,0.147488,-0.147494,0.358749,33.045151,-22.502266,77.216923
214,fusion,0.146243,-0.153853,0.360294,33.191394,-22.656119,77.577217
215,fusion,0.146309,-0.166080,0.372425,33.337704,-22.822200,77.949641
216,fusion,0.148657,-0.118632,0.324009,33.486360,-22.940831,78.273650
217,fusion,0.149485,-0.131795,0.337744,33.635845,-23.072626,78.611395
218,fusion,0.146017,-0.143705,0.349131,33.781862,-23.216332,78.960525
219,fusion,0.146307,-0.162401,0.360140,33.928169,-23.378733,79.320666
220,fusion,0.146334,-0.140091,0.351116,34.074503,-23.518823,79.671781
221,fusion,0.146815,-0.065096,0.357859,34.221317,-23.583920,80.029640
222,fusion,0.147510,-0.060059,0.350756,34.368828,-23.643979,80.380396
223,fusion,0.150856,-0.088113,0.327591,34.519684,-23.732092,80.707987
224,fusion,0.149030,-0.095092,0.327277,34.668714,-23.827183,81.035264
225,fusion,0.144766,-0.068994,0.356003,34.813481,-23.896177,81.391267
226,fusion,0.146359,-0.078007,0.360107,34.959840,-23.974184,81.751374
227,fusion,0.147202,-0.092333,0.368042,35.107042,-24.066517,82.119416
228,fusion,0.149404,-0.073341,0.359768,35.256446,-24.139858,82.479184
229,fusion,0.148996,-0.065252,0.353296,35.405441,-24.205109,82.832480
230,fusion,0.151206,-0.048299,0.339280,35.556647,-24.253409,83.171760
231,fusion,0.153494,-0.051120,0.341321,35.710141,-24.304529,83.513082
232,fusion,0.145950,-0.127016,0.339693,35.856091,-24.431545,83.852774
233,fusion,0.146384,-0.161397,0.340885,36.002475,-24.592942,84.193660
234,fusion,0.147594,-0.153421,0.334535,36.150070,-24.746363,84.528195
235,fusion,0.147417,-0.183574,0.365474,36.297486,-24.929937,84.893669
236,fusion,0.148877,-0.186199,0.373672,36.446364,-25.116136,85.267340
237,fusion,0.150369,-0.121234,0.324425,36.596732,-25.237370,85.591766
238,fusion,0.151022,-0.130013,0.333221,36.747755,-25.367383,85.924987
239,fusion,0.147466,-0.176571,0.347900,36.895221,-25.543954,86.272887
240,fusion,0.145753,-0.161198,0.339070,37.040974,-25.705152,86.611957
241,fusion,0.144493,-0.238651,0.333019,37.185467,-25.943804,86.944976
242,fusion,0.145182,-0.277180,0.380305,37.330650,-26.220984,87.325281
243,fusion,0.145657,-0.254690,0.346481,37.476306,-26.475674,87.671763
244,fusion,0.177448,-0.195904,0.366436,37.653755,-26.671578,88.038199
245,fusion,0.179129,-0.207616,0.377844,37.832884,-26.879195,88.416042
246,fusion,0.187281,-0.243125,0.409941,38.020165,-27.122320,88.825983
247,fusion,0.186334,-0.234239,0.413997,38.206499,-27.356559,89.239981
248,fusion,0.189050,-0.147461,0.411575,38.395549,-27.504021,89.651556
249,fusion,0.190580,-0.148788,0.412634,38.586129,-27.652809,90.064190
250,fusion,0.191353,-0.155509,0.419043,38.777482,-27.808318,90.483234
251,fusion,0.179678,-0.120831,0.366009,38.957160,-27.929149,90.849242
252,fusion,0.178908,-0.122016,0.371547,39.136068,-28.051165,91.220789
253,fusion,0.189110,-0.238734,0.398081,39.325179,-28.289899,91.618870
254,fusion,0.188774,-0.244067,0.404161,39.513953,-28.533966,92.023031
255,fusion,0.189389,-0.219729,0.392151,39.703341,-28.753695,92.415182
256,fusion,0.191306,-0.162835,0.418405,39.894647,-28.916530,92.833587
257,fusion,0.190627,-0.146951,0.407977,40.085275,-29.063481,93.241564
258,fusion,0.181368,-0.069607,0.370778,40.266642,-29.133089,93.612342
259,fusion,0.179391,-0.035048,0.389241,40.446034,-29.168136,94.001583
260,fusion,0.192144,-0.030904,0.390946,40.638177,-29.199040,94.392529
261,fusion,0.192779,-0.039331,0.402202,40.830957,-29.238371,94.794731
262,fusion,0.190293,-0.060099,0.437378,41.021250,-29.298471,95.232108
263,fusion,0.191456,-0.048679,0.410458,41.212706,-29.347149,95.642566
264,fusion,0.192585,-0.049779,0.415003,41.405291,-29.396928,96.057570
265,fusion,0.186171,-0.020695,0.366162,41.591462,-29.417623,96.423732
266,fusion,0.181637,-0.017941,0.360932,41.773099,-29.435565,96.784663
267,fusion,0.192154,-0.027935,0.385773,41.965252,-29.463500,97.170437
268,fusion,0.193389,-0.056995,0.428059,42.158642,-29.520495,97.598496
269,fusion,0.191936,-0.092753,0.393050,42.350578,-29.613248,97.991546
270,fusion,0.193470,-0.135510,0.442553,42.544048,-29.748758,98.434099
271,fusion,0.191691,-0.063148,0.403184,42.735739,-29.811906,98.837283
272,fusion,0.183310,-0.007592,0.360759,42.919049,-29.819498,99.198042
273,fusion,0.186049,-0.011923,0.370779,43.105098,-29.831422,99.568821
274,fusion,0.164405,-0.055411,0.370576,43.269503,-29.886833,99.939397
275,fusion,0.164142,-0.050252,0.367970,43.433646,-29.937084,100.307367
276,fusion,0.163340,-0.108181,0.380880,43.596985,-30.045266,100.688246
277,fusion,0.161220,-0.060913,0.380592,43.758205,-30.106179,101.068838
278,fusion,0.164925,-0.057850,0.387380,43.923130,-30.164029,101.456218
279,fusion,0.152911,-0.035019,0.336880,44.076041,-30.199048,101.793098
280,fusion,0.154578,-0.033122,0.341308,44.230618,-30.232169,102.134405
281,fusion,0.164431,-0.051878,0.377322,44.395050,-30.284047,102.511727
282,fusion,0.166966,-0.039837,0.370947,44.562016,-30.323885,102.882674
283,fusion,0.164382,-0.043732,0.367031,44.726398,-30.367617,103.249705
284,fusion,0.164781,-0.057118,0.394476,44.891179,-30.424734,103.644181
285,fusion,0.166126,-0.063525,0.386853,45.057306,-30.488259,104.031034
286,fusion,0.152595,-0.042367,0.337309,45.209900,-30.530627,104.368343
287,fusion,0.151056,-0.119188,0.344323,45.360956,-30.649815,104.712666
288,fusion,0.161680,-0.050177,0.363379,45.522636,-30.699992,105.076045
289,fusion,0.163538,-0.058880,0.370773,45.686174,-30.758872,105.446819
290,fusion,0.162606,-0.053327,0.365861,45.848781,-30.812199,105.812680
291,fusion,0.163998,-0.056680,0.369167,46.012778,-30.868880,106.181847
292,fusion,0.164401,-0.151909,0.367049,46.177179,-31.020789,106.548895
293,fusion,0.150899,-0.097305,0.346018,46.328078,-31.118094,106.894913
294,fusion,0.152131,-0.035056,0.330543,46.480209,-31.153150,107.225457
295,fusion,0.163399,-0.048595,0.359053,46.643608,-31.201745,107.584510
296,fusion,0.166119,-0.047331,0.359271,46.809727,-31.249076,107.943781
297,fusion,0.165135,-0.043577,0.358886,46.974862,-31.292653,108.302666
298,fusion,0.166223,-0.063717,0.381546,47.141085,-31.356370,108.684212
299,fusion,0.163857,-0.073596,0.387181,47.304943,-31.429966,109.071393
300,fusion,0.149805,-0.134104,0.333233,47.454748,-31.564070,109.404627
301,fusion,0.152868,-0.035894,0.342088,47.607616,-31.599964,109.746715
302,fusion,0.164140,-0.115129,0.388044,47.771756,-31.715092,110.134759
303,fusion,0.166500,-0.103712,0.383614,47.938256,-31.818805,110.518373
304,fusion,0.165355,-0.097285,0.366133,48.103611,-31.916090,110.884507
305,fusion,0.164371,-0.043750,0.365417,48.267982,-31.959840,111.249924
306,fusion,0.166083,-0.040827,0.356998,48.434065,-32.000667,111.606922
307,fusion,0.154875,-0.064184,0.324221,48.588940,-32.064851,111.931144
308,fusion,0.153603,-0.039954,0.340577,48.742543,-32.104805,112.271720
309,fusion,0.163412,-0.065173,0.372621,48.905955,-32.169978,112.644342
310,fusion,0.163975,-0.041486,0.359323,49.069930,-32.211464,113.003665
311,fusion,0.163145,-0.133624,0.372511,49.233074,-32.345089,113.376176
312,fusion,0.162189,-0.154821,0.392284,49.395264,-32.499910,113.768459
313,fusion,0.162666,-0.215603,0.392373,49.557929,-32.715513,114.160832
314,fusion,0.151861,-0.175240,0.322640,49.709790,-32.890753,114.483473
315,fusion,0.152744,-0.112250,0.353475,49.862534,-33.003003,114.836947
316,fusion,0.161934,-0.094652,0.348567,50.024468,-33.097655,115.185514
317,fusion,0.162364,-0.059548,0.383244,50.186832,-33.157203,115.568758
318,fusion,0.164852,-0.064235,0.393488,50.351684,-33.221437,115.962246
319,fusion,0.164795,-0.028915,0.349337,50.516479,-33.250353,116.311583
320,fusion,0.164718,-0.052371,0.375591,50.681197,-33.302723,116.687175
321,fusion,0.154806,-0.039024,0.344645,50.836003,-33.341747,117.031819
322,fusion,0.150428,-0.022336,0.322523,50.986431,-33.364083,117.354343
323,fusion,0.163224,-0.141711,0.358216,51.149654,-33.505794,117.712559
324,fusion,0.162163,-0.124616,0.362577,51.311818,-33.630410,118.075136
325,fusion,0.163391,-0.155819,0.398226,51.475208,-33.786229,118.473362
326,fusion,0.163690,-0.077453,0.391449,51.638899,-33.863682,118.864811
327,fusion,0.165422,-0.057014,0.382540,51.804321,-33.920696,119.247351
328,fusion,0.152008,-0.023644,0.326542,51.956329,-33.944340,119.573893
329,fusion,0.154344,-0.055009,0.357668,52.110673,-33.999349,119.931562
330,fusion,0.165590,-0.059690,0.383042,52.276262,-34.059040,120.314603
331,fusion,0.165287,-0.145122,0.384931,52.441549,-34.204162,120.699535
332,fusion,0.161180,-0.118441,0.349452,52.602730,-34.322603,121.048987
333,fusion,0.161993,-0.129640,0.362681,52.764723,-34.452243,121.411667
334,fusion,0.162205,-0.135487,0.366832,52.926928,-34.587731,121.778499
335,fusion,0.167131,-0.118310,0.374610,53.094059,-34.706040,122.153109
336,fusion,0.171283,-0.124963,0.386811,53.265342,-34.831003,122.539919
337,fusion,0.182352,-0.133876,0.435541,53.447694,-34.964880,122.975461
338,fusion,0.189091,-0.105002,0.419007,53.636785,-35.069882,123.394468
339,fusion,0.190613,-0.121653,0.453049,53.827397,-35.191535,123.847516
340,fusion,0.194075,-0.099451,0.420915,54.021472,-35.290986,124.268431
341,fusion,0.198960,-0.120378,0.449110,54.220432,-35.411364,124.717542
342,fusion,0.175841,-0.112383,0.382061,54.396273,-35.523747,125.099603
343,fusion,0.176827,-0.127180,0.390235,54.573100,-35.650926,125.489838
344,fusion,0.197528,-0.169007,0.472354,54.770629,-35.819933,125.962192
345,fusion,0.198148,-0.145326,0.454189,54.968777,-35.965259,126.416381
346,fusion,0.199475,-0.119259,0.435834,55.168252,-36.084518,126.852215
347,fusion,0.199838,-0.149644,0.463806,55.368090,-36.234162,127.316021
348,fusion,0.199127,-0.133688,0.447507,55.567217,-36.367850,127.763528
349,fusion,0.177918,-0.029986,0.403395,55.745135,-36.397836,128.166923
350,fusion,0.177431,-0.024808,0.392670,55.922565,-36.422644,128.559593
351,fusion,0.198257,-0.048882,0.454637,56.120823,-36.471526,129.014230
352,fusion,0.201101,-0.033986,0.440019,56.321923,-36.505512,129.454249
353,fusion,0.199201,-0.106392,0.430680,56.521124,-36.611904,129.884930
354,fusion,0.200858,-0.026754,0.431034,56.721982,-36.638658,130.315963
355,fusion,0.201479,-0.055980,0.467089,56.923462,-36.694638,130.783053
356,fusion,0.179108,-0.024808,0.391684,57.102570,-36.719446,131.174736
357,fusion,0.181188,-0.017448,0.392157,57.283758,-36.736894,131.566893
358,fusion,0.198870,-0.023769,0.425666,57.482628,-36.760663,131.992560
359,fusion,0.200565,0.000579,0.415748,57.683193,-36.760084,132.408307
360,fusion,0.202253,-0.012760,0.439117,57.885446,-36.772844,132.847424
361,fusion,0.202323,-0.018392,0.438426,58.087769,-36.791236,133.285850
362,fusion,0.201950,-0.007055,0.431918,58.289719,-36.798291,133.717769
363,fusion,0.181876,-0.005651,0.390554,58.471595,-36.803942,134.108323
364,fusion,0.179790,-0.009468,0.392738,58.651385,-36.813410,134.501061
365,fusion,0.199017,-0.039420,0.459480,58.850402,-36.852830,134.960541
